X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 611.93; 9944.000;    0.000;    0.000
 612.09; 9948.000;    0.000;    0.000
 612.25; 9656.000;    0.000;    0.000
 612.41;18588.000;    0.000;    0.000
 612.57;15056.000;    0.000;    0.000
 612.73;13000.000;    0.000;    0.000
 612.89;14440.000;    0.000;    0.000
 613.04; 9188.000;    0.000;    0.000
 613.20;16732.000;    0.000;    0.000
 613.36;10288.000;    0.000;    0.000
 613.52;13632.000;    0.000;    0.000
 613.68;11100.000;    0.000;    0.000
 613.84;12048.000;    0.000;    0.000
 614.00;15756.000;    0.000;    0.000
 614.16;15272.000;    0.000;    0.000
 614.32;13996.000;    0.000;    0.000
 614.48;20736.000;    0.000;    0.000
 614.64;19212.000;    0.000;    0.000
 614.80;13720.000;    0.000;    0.000
 614.96;15100.000;    0.000;    0.000
 615.12; 9488.000;    0.000;    0.000
 615.28;16624.000;    0.000;    0.000
 615.44;14076.000;    0.000;    0.000
 615.60;22708.000;    0.000;    0.000
 615.76;16640.000;    0.000;    0.000
 615.92;13492.000;    0.000;    0.000
 616.08;16828.000;    0.000;    0.000
 616.23;15692.000;    0.000;    0.000
 616.39;15900.000;    0.000;    0.000
 616.55;14756.000;    0.000;    0.000
 616.71;16956.000;    0.000;    0.000
 616.87;18388.000;    0.000;    0.000
 617.03;12020.000;    0.000;    0.000
 617.19; 8776.000;    0.000;    0.000
 617.35;19540.000;    0.000;    0.000
 617.51;19812.000;    0.000;    0.000
 617.67;12632.000;    0.000;    0.000
 617.83;11640.000;    0.000;    0.000
 617.99;11424.000;    0.000;    0.000
 618.15;17996.000;    0.000;    0.000
 618.31; 8920.000;    0.000;    0.000
 618.47; 9100.000;    0.000;    0.000
 618.63;20792.000;    0.000;    0.000
 618.78;18968.000;    0.000;    0.000
 618.94;16512.000;    0.000;    0.000
 619.10;14584.000;    0.000;    0.000
 619.26;12296.000;    0.000;    0.000
 619.42;13668.000;    0.000;    0.000
 619.58;12888.000;    0.000;    0.000
 619.74;15192.000;    0.000;    0.000
 619.90;16616.000;    0.000;    0.000
 620.06;12064.000;    0.000;    0.000
 620.22;12500.000;    0.000;    0.000
 620.38;12208.000;    0.000;    0.000
 620.54;13964.000;    0.000;    0.000
 620.70;14516.000;    0.000;    0.000
 620.85;13524.000;    0.000;    0.000
 621.01;14544.000;    0.000;    0.000
 621.17;13484.000;    0.000;    0.000
 621.33;13820.000;    0.000;    0.000
 621.49; 7488.000;    0.000;    0.000
 621.65;12932.000;    0.000;    0.000
 621.81;14932.000;    0.000;    0.000
 621.97;13072.000;    0.000;    0.000
 622.13;11528.000;    0.000;    0.000
 622.29; 8316.000;    0.000;    0.000
 622.45;15892.000;    0.000;    0.000
 622.61;16228.000;    0.000;    0.000
 622.76;13064.000;    0.000;    0.000
 622.92;13124.000;    0.000;    0.000
 623.08; 7152.000;    0.000;    0.000
 623.24; 9760.000;    0.000;    0.000
 623.40;15280.000;    0.000;    0.000
 623.56; 7416.000;    0.000;    0.000
 623.72;10820.000;    0.000;    0.000
 623.88;20644.000;    0.000;    0.000
 624.04; 8492.000;    0.000;    0.000
 624.20;16632.000;    0.000;    0.000
 624.36;22304.000;    0.000;    0.000
 624.51;22480.000;    0.000;    0.000
 624.67;14016.000;    0.000;    0.000
 624.83;11092.000;    0.000;    0.000
 624.99;10416.000;    0.000;    0.000
 625.15;12472.000;    0.000;    0.000
 625.31;10616.000;    0.000;    0.000
 625.47;18372.000;    0.000;    0.000
