X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 603.78;14892.000;    0.000;    0.000
 603.94;17132.000;    0.000;    0.000
 604.10;14404.000;    0.000;    0.000
 604.26;17632.000;    0.000;    0.000
 604.42;19252.000;    0.000;    0.000
 604.58; 9716.000;    0.000;    0.000
 604.74;13716.000;    0.000;    0.000
 604.90; 6828.000;    0.000;    0.000
 605.06; 8616.000;    0.000;    0.000
 605.22;14604.000;    0.000;    0.000
 605.38; 8220.000;    0.000;    0.000
 605.54;10320.000;    0.000;    0.000
 605.70; 9364.000;    0.000;    0.000
 605.86;11696.000;    0.000;    0.000
 606.01;13232.000;    0.000;    0.000
 606.17;11948.000;    0.000;    0.000
 606.33;11264.000;    0.000;    0.000
 606.49;14340.000;    0.000;    0.000
 606.65;14244.000;    0.000;    0.000
 606.81; 8688.000;    0.000;    0.000
 606.97;11936.000;    0.000;    0.000
 607.13; 9372.000;    0.000;    0.000
 607.29;12824.000;    0.000;    0.000
 607.45;14412.000;    0.000;    0.000
 607.61;14220.000;    0.000;    0.000
 607.77;15168.000;    0.000;    0.000
 607.93;17256.000;    0.000;    0.000
 608.09;12548.000;    0.000;    0.000
 608.25;11336.000;    0.000;    0.000
 608.41;14864.000;    0.000;    0.000
 608.57;15928.000;    0.000;    0.000
 608.73;14000.000;    0.000;    0.000
 608.89;13736.000;    0.000;    0.000
 609.05; 9848.000;    0.000;    0.000
 609.21;17168.000;    0.000;    0.000
 609.37;12936.000;    0.000;    0.000
 609.53;10204.000;    0.000;    0.000
 609.69;13564.000;    0.000;    0.000
 609.85;15352.000;    0.000;    0.000
 610.01;10344.000;    0.000;    0.000
 610.17;12392.000;    0.000;    0.000
 610.33; 9184.000;    0.000;    0.000
 610.49;13672.000;    0.000;    0.000
